Date,Order,Slug,Origin,Producer,Guest number,Guest info
140810,6,RURAL PLUMBER NEEDED,S,"B,F",2,"['W,M', 'W,F']"
140810,7,DIPLOMA FINALLY GRANTED,D,"B,F",2,"['B,M', 'W,M']"
140810,8,AIRSTREAMS,S,"W,M",4,"['W,M', 'W,M', 'W,F', 'W,M']"
140810,9,MUSIC FARMER JOHN,S,"W,F",2,"['L,M', 'W,M']"
140802,0,EBOLA UPDATE,S,"W,F",1,"['B,F']"
140802,1,MSF NURSE,S,"A,F",1,"['O,F']"
140802,2,CONGRESS IN RECESS,S,"W,M",1,"['W,M']"
140802,3,STOCKS TAKE A DIVE,S,"W,F",1,"['W,F']"
140802,4,DOLLAR TREE VS WALL STREET,S,"W,F",3,"['B,F', 'W,M', 'W,F']"
140802,5,UGANDA LGBT ACTIVIST,S,"W,M",1,"['B,M']"
140802,6,OZY,S,"B,F",1,"['B,M']"
140802,7,BLACK HALL OF FAMERS,S,"W,M",1,"['B,M']"
140802,8,NBA LADY COACH,S,"L,F",1,"['A,F']"
140802,9,MUSIC NAOMI SHELTON,S,"W,M",1,"['B,F']"
140802,10,ODD JOBS MAIL DELIVERY,D,"W,F",4,"['W,M', 'W,M', 'W,M', 'O,M']"
140803,0,GAZA UPDATE,D,"W,F",3,"['M,M', 'M,M', 'M,M']"
140803,1,IRSAELI AMBASSADOR,S,"W,M",1,"['W,M']"
140803,2,ALGAE BLOOM,D,"W,F",5,"['B,M', 'W,M', 'O,F', 'W,M', 'O,M']"
140803,3,COMMON CORE IN CLASSROOM,D,"A,M",2,"['O,F', 'W,M']"
140803,4,COMMON CORE 2WAY,S,"W,M",1,"['W,M']"
140803,5,COMPLAINT LETTERS,S,"W,M",1,"['W,M']"
140803,6,MBB DANNY TREJO,S,"W,M",1,"['L,M']"
140803,7,OPERA LOCKOUT UPDATE,D,"B,M",2,"['W,M', 'W,M']"
140803,8,BOOK WHY EDUCATION MATTERS,S,"W,F",1,"['W,M']"
140803,9,BYE KIDDIE PARK,D,"W,F",4,"['O,M', 'O,F', 'O,M', 'W,M']"
140803,10,MUSIC GOT A GIRL,S,"W,M",2,"['A,M', 'W,F']"
140727,0,FIGHTING RESUMES IN GAZA,D,"W,F",3,"['W,M', 'M,M', 'M,M']"
140727,1,GAZA DIFFERENCES,S,"W,M",1,"['W,F']"
140727,2,HARRIER JUMP JETS,S,"W,M",1,"['W,M']"
140727,3,ISIS IN IRAQ,S,"W,F",1,"['W,F']"
140727,4,EAST BAY SCHOOL FOR BOYS,S,"W,M",4,"['W,F', 'W,M', 'A,M', 'W,M']"
140727,5,MUSIC FINK,S,"B,F",1,"['W,M']"
140727,6,CORINTHIAN COLLEGES,S,"W,M",1,"['B,M']"
140727,7,LUCY BRAIN MYTH,S,"W,M",2,"['W,M', 'W,F']"
140727,8,HOMELESS SIGNS,S,"W,M",1,"['W,M']"
140727,9,BOOK LAND OF LOVE AND DROWNING,S,"W,F",1,"['B,F']"
140726,0,FIGHTING RESUMES IN GAZA,D,"W,F",3,"['M,F', 'M,F', 'M,M']"
140726,1,SYRIA UPDATE,S,"W,M",1,"['M,F']"
140726,2,AIRLINE INDUSTRY CONFLICT ZONES,S,"A,F",1,"['W,M']"
140726,3,OZY,S,"B,F",1,"['A,F']"
140726,4,LIFETIME DIVERSITY,S,"B,F",3,"['W,M', 'B,F', 'B,F']"
140726,5,MUSIC ERIC CLAPTON,S,"W,M",1,"['W,M']"
140726,6,MBB POST IT NOTE,S,"W,M",2,"['W,M', 'W,M']"
140726,7,BOOK ESSENTIALISM,S,"A,F",1,"['W,M']"
140726,8,MOVIE MOST WANTED MAN,S,"B,F",1,"['W,M']"
140720,0,ISRAEL GAZA CASUALTIES CLIB,S,"W,F",1,"['W,M']"
140720,1,UKRAINE PLANE CRASH,S,"W,M",2,"['W,M', 'W,F']"
140720,2,TROUBLE FOR BROWNBACK,S,"W,F",2,"['W,M', 'W,M']"
140720,3,DROUGHT UPDATE,S,"W,M",1,"['W,F']"
140720,4,SAM'S DROUGHT POLICE STORY,D,"B,M",2,"['W,M', 'L,M']"
140720,5,MICHOACAN MIGRANT,D,"W,M",3,"['L,M', 'L,F', 'L,M']"
140720,6,LIONFISH DISCOVERY,S,"W,F",2,"['W,F', 'W,M']"
140720,7,MBB SHAUN T,S,"B,F",1,"['B,M']"
140720,8,MUSIC SHABAZZ PALACES,S,"W,M",1,"['B,M']"
140719,0,UKRAINE PLANE CRASH,S,"W,M",2,"['W,M', 'W,M']"
140719,1,AIDS RESEARCHERS,S,"W,F",1,"['W,F']"
140719,2,ISRAEL GAZA SOCIAL MEDIA,D,"W,M",4,"['M,M', 'M,M', 'M,F', 'W,F']"
140719,3,ILLEGAL IMMIGRANTS IN LA,S,"W,M",3,"['L,M', 'L,F', 'L,F']"
140719,4,BUSINESS OF COMIC CON,D,"W,M",5,"['W,M', 'W,M', 'W,M', 'W,F', 'W,M']"
140719,5,MUSIC JENNY LEWIS,S,"W,M",1,"['W,F']"
140719,6,BOOK MOCKINGBIRD MEMOIR,S,"W,F",1,"['W,F']"
140719,7,JAMBO RADIO,D,"W,M",2,"['B,M', 'B,F']"
140719,8,TIM BOMBA PROFILE,S,"W,F",1,"['W,M']"
140713,0,KURDS VS IRAQ IN BAGHDAD,S,"W,F",1,"['M,F']"
140713,1,VENICE INEQUALITY,S,"W,F",4,"['W,F', 'W,M', 'B,F', 'W,M']"
140713,2,WORLD CUP FINAL,S,"W,F",1,"['W,M']"
140713,3,GAZA PASSPORTS,D,"W,M",2,"['O,F', 'W,M']"
140713,4,KARYN PARSONS,S,"B,F",1,"['B,F']"
140713,5,DISNEY DEAD MOMS,S,"W,M",1,"['W,F']"
140713,6,PLUTO SAVE THE DATE,S,"B,F",1,"['W,M']"
140713,7,HEARING AID EVOLUTION,S,"W,F",1,"['W,F']"
140713,8,BOOK LAST STORIES AND OTHER STORIES,S,"W,F",1,"['W,M']"
140713,9,MOVIES OF 1994,S,"W,F",1,"['B,M']"
140713,10,LORIN MAAZEL OBIT,S,"W,M",1,"['W,M']"
140712,0,UN SECURITY COUNCIL,S,"W,F",1,"['W,M']"
140712,1,HAMAS ROCKETS,S,"W,M",1,"['W,F']"
